id,category,image,title,date
competition-25,competition,https://cdn.bountyhunter.co/file/6cd49534-4a46-492c-9b83-f6aba1ff5ff6.png?size=640,「循」找永續耶誕的無限可能,還有 19 天
competition-26,competition,https://cdn.bountyhunter.co/file/bac54edc-bb5e-4114-8fde-82b73783b9e2.jpg?size=640,全國第八屆「青年公益實踐計畫」,還有 6 天
competition-27,competition,https://cdn.bountyhunter.co/file/d67aeb3d-32bc-43dc-ba62-c90e70354203.png?size=640,第九屆 台積電青年築夢計畫,還有 3 天
competition-28,competition,https://cdn.bountyhunter.co/file/79ec0a43-e013-4c45-b993-3575d9d07d0b.png?size=640,2025 Coding 101大學軟體創作競賽,還有 3 個月
competition-29,competition,https://cdn.bountyhunter.co/file/92503978-2c4e-41d9-8521-377534957765.jpg?size=640,2024全國AI創意實作競賽,還有 13 天
competition-30,competition,https://cdn.bountyhunter.co/file/975e0c12-c817-410b-bf32-8f3e6d0cb374.jpg?size=640,2024全國新零售競賽,還有 2 個月
competition-31,competition,https://cdn.bountyhunter.co/file/e77845d4-c61f-4933-9361-ba2b464cf7e7.png?size=640,2024 全國大專校院與高中職台鋼三創發明競賽,還有 9 天
competition-32,competition,https://cdn.bountyhunter.co/file/99c24775-b2a5-4fab-adf1-704ff83a56c0.png?size=640,2024日月光永續創新競賽,還有 19 天
competition-33,competition,https://cdn.bountyhunter.co/file/904a1c18-2439-474a-bc78-6359bfa681d3.jpg?size=640,桃園AI科技導入客語學習創新徵件競賽開跑—即日起至11/18,還有 大約 1 個月
competition-34,competition,https://cdn.bountyhunter.co/file/8babee93-17a2-4136-bf5e-890cb548ae93.jpg?size=640,臺北市113年度中小學 SCRATCH 貓咪盃創意競賽,還有 4 天
competition-36,competition,https://cdn.bountyhunter.co/file/52b147e3-a355-4429-b904-eb8d1259a6d9.png?size=640,2024高科盃-遊程設計暨導覽競賽,還有 19 天
competition-37,competition,https://cdn.bountyhunter.co/file/8ed15b1e-84f1-4bfa-ba77-afa4fd879986.png?size=640,台南AI事，數位大城市：2024數位城市治理黑客松,還有 11 天
competition-38,competition,https://cdn.bountyhunter.co/file/3bd6af11-a9a8-48d2-8e22-7cbe15b420d5.png?size=640,2024-2025第十一屆新一代設計產學合作_學生徵件,還有 4 天
competition-39,competition,https://cdn.bountyhunter.co/file/2b89beac-d8c4-4864-9beb-110b9cee8a05.png?size=640,2024第四屆潛力種子盃個股研究競賽,還有 3 個月
competition-40,competition,https://cdn.bountyhunter.co/file/3dff0438-2beb-4ee8-a7df-5c66a7d6620a.png?size=640,打造綠色校園！ESG永續淨零提案競賽,還有 14 天
competition-41,competition,https://cdn.bountyhunter.co/file/1e594a9f-8914-4355-b5ef-e5e1cc956577.png?size=640,NEST全國小學學科能力競賽第三屆,還有 3 天
competition-42,competition,https://cdn.bountyhunter.co/file/d4403355-ca00-4677-9105-ac3f3f0127b1.jpg?size=640,客家委會--2024客庄遊程競賽活動,還有 29 天
competition-43,competition,https://cdn.bountyhunter.co/file/9e906dea-2841-46c7-ac75-7b60331dc85f.jpg?size=640,2024 第十二屆全國大觀盃觀光設計競賽,還有 30 天
competition-44,competition,https://cdn.bountyhunter.co/file/1fe7816c-857c-41c2-879b-81daa927f2d6.png?size=640,2024-2025Robofest國際機器人競賽線上預賽,還有 1 天
competition-45,competition,https://cdn.bountyhunter.co/file/c84eb615-118e-470e-a070-2da541f08d92.jpg?size=640,〈2024興創競技場〉創新創業競賽,還有 大約 1 個月
competition-46,competition,https://cdn.bountyhunter.co/file/17b4c100-3c2d-4370-9346-8d02c5cd23b9.png?size=640,2024行銷傳播傑出貢獻獎,還有 3 天
competition-47,competition,https://cdn.bountyhunter.co/file/6d3aac59-94c8-41bc-9d48-1b44f5ccdce1.jpg?size=640,2025華文公關獎 一般獎徵件,還有 19 天
competition-48,competition,https://cdn.bountyhunter.co/file/c0357598-3b52-4d03-ac77-32d6fed6fb9c.jpg?size=640,創意會展，智慧城市{2024 第八屆全國高中職會展活動企劃競賽},還有 大約 2 個月
competition-50,competition,https://cdn.bountyhunter.co/file/791d289f-88ce-4bfd-867d-32e1c6c78d4d.png?size=640,113資訊月資訊應用技能競賽,還有 7 天
competition-51,competition,https://cdn.bountyhunter.co/file/7d38e4f2-ba36-469c-ab34-6c6925bca158.jpg?size=640,2024大獅盃-Scratch程式競賽,還有 大約 1 個月
competition-52,competition,https://cdn.bountyhunter.co/file/e587bb1a-62a2-4683-aa13-52807e6f4134.jpg?size=640,2024萬能盃「永續旅遊在桃園遊程競賽」,還有 16 天
competition-53,competition,https://cdn.bountyhunter.co/file/6f485f8f-a813-4dc5-875a-4122fbaff01b.jpg?size=640,2024 全國智慧生活五創競賽,還有 11 天
competition-54,competition,https://cdn.bountyhunter.co/file/99fce01b-363a-4da3-a76c-dff5492a3194.jpg?size=640,美光半導體創新應用競賽,還有 3 個月
competition-55,competition,https://cdn.bountyhunter.co/file/ba41b66c-514b-451b-a5dc-633265f61993.jpg?size=640,政大證券研習社個股競賽,還有 8 天
competition-56,competition,https://cdn.bountyhunter.co/file/0a92ef04-88ad-42ba-8bf8-cce15781da1c.png?size=640,2024 來恩盃全國高中職人工智慧應用與創意競賽,還有 9 天
competition-57,competition,https://cdn.bountyhunter.co/file/55ae6be0-cd72-41ff-947b-39deb297cbd2.png?size=640,113年Dream idea提案,還有 2 天
competition-58,competition,https://cdn.bountyhunter.co/file/0d980593-1b3c-41c3-bccf-a6bff38229ba.jpg?size=640,2024 流通盃移動王遊程設計簡報競賽,還有 6 天
competition-59,competition,https://cdn.bountyhunter.co/file/66281bb8-e420-4f38-8482-95fd205f5c2e.jpg?size=640,臺北市政府青年局113年度公共政策創意提案暨辯論競賽,還有 2 天
competition-61,competition,https://cdn.bountyhunter.co/file/716e79b9-c25a-456b-a64f-bf848252f9ca.png?size=640,第四屆全國高中醫療科技創意競賽,還有 大約 2 個月
competition-62,competition,https://cdn.bountyhunter.co/file/f7cabb31-3d83-4c88-ba11-7126775a1d9f.jpg?size=640,2024 康寧創星家 - 創新應用競賽,還有 9 天
competition-63,competition,https://cdn.bountyhunter.co/file/30eff694-5ec3-4567-a9f2-2eeec6593c9b.jpg?size=640,113年教育行政領導人員研習「教育政策及課程實施」創意發想企劃書徵稿,還有 19 天
competition-64,competition,https://cdn.bountyhunter.co/file/79433d38-e2f9-468c-a37c-334e5b2acb17.jpg?size=640,《灃食夢想計畫 夢想食驗事 Let's Change》！🚀【報名請至活動官網下載簡章】,還有 8 天
competition-65,competition,https://cdn.bountyhunter.co/file/118447c1-8a54-4399-8779-a5ef7160cbef.jpg?size=640,2025第七屆華文公關獎 學生組徵件,還有 19 天
competition-66,competition,https://cdn.bountyhunter.co/file/b8f7bc5d-5041-4649-8660-6f86b29f9ce2.png?size=640,2024 第十一屆我是接班人全國企業創新競賽,還有 大約 1 個月
competition-67,competition,https://cdn.bountyhunter.co/file/9e06be6a-08e5-4a74-a070-1fbabb7ff71c.png?size=640,2024 MERMC Taiwan 企業資源管理競賽,還有 3 天
competition-68,competition,https://cdn.bountyhunter.co/file/f901c424-6dd0-4b6b-999e-65ed7af06530.png?size=640,2024 第七屆萌芽盃創新創業競賽,還有 13 天
